Feature,RT,Intensity,mz,File,Zoom
4,9.02,1858353,586.03986,AFFF3_Target_Neg.mzXML,1
4,9.03,1289328,586.03957,AFFF3_Target_Neg.mzXML,1
4,9.04,870302,586.03997,AFFF3_Target_Neg.mzXML,1
4,9.05,507913,586.03889,AFFF3_Target_Neg.mzXML,1
4,9.06,282941,586.03911,AFFF3_Target_Neg.mzXML,1
4,9.07,146807,586.04,AFFF3_Target_Neg.mzXML,1
4,9.08,91195,586.0398,AFFF3_Target_Neg.mzXML,1
4,9.09,55304,586.03958,AFFF3_Target_Neg.mzXML,1
4,9.1,39919,586.03947,AFFF3_Target_Neg.mzXML,1
4,9.11,29058,586.03897,AFFF3_Target_Neg.mzXML,1
4,9.12,21935,586.04022,AFFF3_Target_Neg.mzXML,1
4,9.13,16162,586.04061,AFFF3_Target_Neg.mzXML,1
4,9.14,12859,586.03992,AFFF3_Target_Neg.mzXML,1
4,9.16,11768,586.0401,AFFF3_Target_Neg.mzXML,1
4,9.17,10025,586.03925,AFFF3_Target_Neg.mzXML,1
4,9.18,8866,586.03969,AFFF3_Target_Neg.mzXML,1
4,9.19,8419,586.04051,AFFF3_Target_Neg.mzXML,1
4,9.2,7708,586.03923,AFFF3_Target_Neg.mzXML,1
4,9.22,6618,586.04017,AFFF3_Target_Neg.mzXML,1
4,9.23,4511,586.03906,AFFF3_Target_Neg.mzXML,1
4,9.24,5165,586.04117,AFFF3_Target_Neg.mzXML,1
4,9.25,4355,586.04111,AFFF3_Target_Neg.mzXML,1
4,9.26,5139,586.03883,AFFF3_Target_Neg.mzXML,1
4,9.28,3601,586.03996,AFFF3_Target_Neg.mzXML,1
4,9.29,4493,586.03903,AFFF3_Target_Neg.mzXML,1
4,9.3,3761,586.04036,AFFF3_Target_Neg.mzXML,1
4,9.31,3331,586.0384,AFFF3_Target_Neg.mzXML,1
4,9.32,3093,586.04071,AFFF3_Target_Neg.mzXML,1
4,9.33,2444,586.03974,AFFF3_Target_Neg.mzXML,1
4,9.34,2475,586.04022,AFFF3_Target_Neg.mzXML,1
4,9.35,2122,586.03898,AFFF3_Target_Neg.mzXML,1
4,9.36,2753,586.03885,AFFF3_Target_Neg.mzXML,1
4,9.37,1737,586.04029,AFFF3_Target_Neg.mzXML,1
